Run_Number,Disk.mdot(msol/yr),Wind.mdot(msol/yr),KWD.d(in_units_of_rstar),KWD.mdot_r_exponent,KWD.acceleration_length(cm),KWD.acceleration_exponent
98,3e-09,3e-10,0.55,0.25,72518200000.0,4.5
107,3e-09,3e-10,0.55,1.0,72518200000.0,4.5
170,3e-09,9e-10,0.55,0.0,72518200000.0,4.5
179,3e-09,9e-10,0.55,0.25,72518200000.0,4.5
185,3e-09,9e-10,0.55,1.0,7251820000.0,4.5
187,3e-09,9e-10,0.55,1.0,72518200000.0,1.5
188,3e-09,9e-10,0.55,1.0,72518200000.0,4.5
197,3e-09,9e-10,5.5,0.0,72518200000.0,4.5
240,3e-09,9e-10,55.0,1.0,72518200000.0,0.5
269,1e-08,3e-10,0.55,1.0,72518200000.0,4.5
341,1e-08,1e-09,0.55,0.25,72518200000.0,4.5
347,1e-08,1e-09,0.55,1.0,7251820000.0,4.5
350,1e-08,1e-09,0.55,1.0,72518200000.0,4.5
398,1e-08,1e-09,55.0,1.0,725182000.0,4.5
410,1e-08,3e-09,0.55,0.0,7251820000.0,4.5
413,1e-08,3e-09,0.55,0.0,72518200000.0,4.5
419,1e-08,3e-09,0.55,0.25,7251820000.0,4.5
421,1e-08,3e-09,0.55,0.25,72518200000.0,1.5
422,1e-08,3e-09,0.55,0.25,72518200000.0,4.5
428,1e-08,3e-09,0.55,1.0,7251820000.0,4.5
430,1e-08,3e-09,0.55,1.0,72518200000.0,1.5
431,1e-08,3e-09,0.55,1.0,72518200000.0,4.5
440,1e-08,3e-09,5.5,0.0,72518200000.0,4.5
449,1e-08,3e-09,5.5,0.25,72518200000.0,4.5
458,1e-08,3e-09,5.5,1.0,72518200000.0,4.5
477,1e-08,3e-09,55.0,1.0,725182000.0,0.5
478,1e-08,3e-09,55.0,1.0,725182000.0,1.5
479,1e-08,3e-09,55.0,1.0,725182000.0,4.5
480,1e-08,3e-09,55.0,1.0,7251820000.0,0.5
512,3e-08,9e-10,0.55,1.0,72518200000.0,4.5
575,3e-08,3e-09,0.55,0.0,72518200000.0,4.5
583,3e-08,3e-09,0.55,0.25,72518200000.0,1.5
584,3e-08,3e-09,0.55,0.25,72518200000.0,4.5
590,3e-08,3e-09,0.55,1.0,7251820000.0,4.5
592,3e-08,3e-09,0.55,1.0,72518200000.0,1.5
593,3e-08,3e-09,0.55,1.0,72518200000.0,4.5
602,3e-08,3e-09,5.5,0.0,72518200000.0,4.5
611,3e-08,3e-09,5.5,0.25,72518200000.0,4.5
656,3e-08,9e-09,0.55,0.0,72518200000.0,4.5
665,3e-08,9e-09,0.55,0.25,72518200000.0,4.5
668,3e-08,9e-09,0.55,1.0,725182000.0,4.5
671,3e-08,9e-09,0.55,1.0,7251820000.0,4.5
673,3e-08,9e-09,0.55,1.0,72518200000.0,1.5
674,3e-08,9e-09,0.55,1.0,72518200000.0,4.5
679,3e-08,9e-09,5.5,0.0,7251820000.0,1.5
680,3e-08,9e-09,5.5,0.0,7251820000.0,4.5
681,3e-08,9e-09,5.5,0.0,72518200000.0,0.5
682,3e-08,9e-09,5.5,0.0,72518200000.0,1.5
683,3e-08,9e-09,5.5,0.0,72518200000.0,4.5
688,3e-08,9e-09,5.5,0.25,7251820000.0,1.5
689,3e-08,9e-09,5.5,0.25,7251820000.0,4.5
691,3e-08,9e-09,5.5,0.25,72518200000.0,1.5
692,3e-08,9e-09,5.5,0.25,72518200000.0,4.5
701,3e-08,9e-09,5.5,1.0,72518200000.0,4.5
720,3e-08,9e-09,55.0,1.0,725182000.0,0.5
721,3e-08,9e-09,55.0,1.0,725182000.0,1.5
722,3e-08,9e-09,55.0,1.0,725182000.0,4.5
723,3e-08,9e-09,55.0,1.0,7251820000.0,0.5
